中文名称,英文名称,定义,,,,,
无性花,asexual flower,指花中雄蕊和雌蕊均退化或发育不全，也称中性花，如绣球花序周围的花。,,,,,
辐射对称花,actinomorphic flower,指花被各片的形状、大小、排列方式相似，通过花的中心可作2个或2个以上对称面的花，也称整齐花，如具有十字形、辐状、管状、钟状、漏斗状等花冠的花。,,,,,
两侧对称花,zygomorphic flower,指花被各片的形状大小不一，通过其中心只可作一个对称面，也称不整齐花，如具有蝶形、唇形、舌状花冠的花。,,,,,
不对称花,asymmetric flower,指通过花的中心不能作出对称面的花，如美人蕉、缬草等极少数植物的花。,,,,,
单生花,solitary flower,指植物的花单朵生于茎的顶端或叶腋，如五味子。,,,,,
簇生花,fascicled flower,指2朵或几朵花成簇生于茎的顶端或叶腋，不形成固定的着生方式。,,,,,
花序,inflorescence,花在花枝或花轴上排列的方式和开放的顺序。花序中的花称小花，着生小花的部分称花序轴或花轴，花序轴可有分枝或不分枝。支持整个花序的茎轴称总花梗（柄），小花的花梗称小花梗，无叶的总花梗称花葶。,,,,,
无限花序,indefinite inflorescence,总状花序类，花由花序轴的基部向顶端依次开放，或由缩短膨大的花序轴边缘向中心依次开放。,,,,,
有限花序,definite inflorescence,花的开花顺序由上而下或由内而外依次进行的花序。,,,,,
总状花序,raceme,花序轴细长，其上着生许多花梗近等长的小花。如十字花科植物的花序。,,,,,
复总状花序,compound raceme,花序轴产生许多分枝，每1分枝各成1总状花序，整个花序似圆锥状，又称圆锥花序（panicle）。如槐树、女贞等的花序。,,,,,
穗状花序,spike,花序轴细长，其上着生许多花梗极短或无花梗的小花。如车前、马鞭草等的花序。,,,,,
复穗状花序,compound spike,花序轴产生分枝，每1分枝各成1穗状花序。如小麦、香附等禾本科、莎草科植物的花序。,,,,,
葇荑花序,catkin,似穗状花序，但花序轴下垂，其上着生许多无梗的单性或两性小花。如柳、枫杨等杨柳科、胡桃科植物的花序。,,,,,
肉穗花序,spadix,似穗状花序，但花序轴肉质肥大成棒状，其上着生许多无梗的单性小花；若花序外面有1片佛焰苞（spathe），如天南星、半夏等天南星科植物的花序，称为佛焰花序（spadix）。,,,,,
伞房花序,corymb,花轴下部的花梗较长，上部的花梗依次渐短，整个花序的花几乎排列在1个平面上，如山楂、苹果等蔷薇科部分植物的花序。,,,,,
伞形花序,umbel,花序轴缩短，在总花梗顶端集生许多花梗近等长的小花，放射状排列如伞，如五加、人参等五加科植物的花序以及石蒜科一些植物的花序。,,,,,
复伞形花序,compound umbel,花序轴顶端集生许多近等长的伞形分枝，每1分枝又形成伞形花序，如前胡、野胡萝卜等伞形科植物的花序。,,,,,
头状花序,capitulum,花序轴顶端缩短膨大成头状或盘状的花序托，其上集生许多无梗小花，下方常有1至数层总苞片组成的总苞，如向日葵、旋覆花等菊科植物的花序，,,,,,
隐头花序,hypanthodium,花序轴肉质膨大而下凹成中空的球状体，内壁上着生无梗的单性小花，顶端仅有1小孔与外面相通，如无花果、薜荔等桑科部分植物的花序。,,,,,
单歧聚伞花序,monochasium,花序轴顶端生1朵花，而后在其下方依次产生1侧轴，侧轴顶端同样生1花，如此连续分枝形成。若花序轴的分枝均在同一侧产生，花序呈螺旋状卷曲，称螺旋状聚伞花序（helicoid cyme），如紫草、附地菜等的花序。若分枝在左右两侧交互产生而呈蝎尾状的，称蝎尾状聚伞花序（scorpioid cyme），如射干、姜等的花序。,,,,,
二歧聚伞花序,dichasium,花序轴顶端生1朵花，而后在其下方两侧同时各产生1等长侧轴，每个侧轴再以同样方式开花并分枝，如卫矛科、石竹科植物。,,,,,
多歧聚伞花序,pleiochasium,花序轴顶端生1朵花，而后在其下方同时产生数个侧轴，侧轴常比主轴长，各侧轴又形成小的聚伞花序。大戟、甘遂等大戟属的多歧聚伞花序下面常有杯状总苞，也称杯状聚伞花序或大戟花序。,,,,,
轮伞花序,verticillaster,聚伞花序生于对生叶的叶腋成轮状排列，如益母草、丹参等唇形科植物的花序。,,,,,
混合花序,mixed inflorescence,花轴上同时生有两种不同类型的花序形成混合花序，如紫丁香、葡萄为聚伞花序排成圆锥状，丹参、紫苏为轮伞花序排成假总状，楤木为伞形花序排成圆锥状，茵陈蒿、豨莶为头状花序排成圆锥状等。,,,,,
花程式,flower formula,是采用字母、符号及数字按规定的项目及顺序表示花各部分的组成、数目、排列方式等的公式。,,,,,

