序号,类群,科中文名,药典/地方,科序,科拉丁名,科特征记忆模块,未知科检索模块
23,3,姜科 *,药典,89,Zingiberaceae,多年生草本，具块茎、根状茎、块根。叶基生或茎生，2列或有时螺旋排列，基部常鞘状；具叶舌。穗状花序、头状花序、总状花序或圆锥花序，花两性，左右对称；合生萼管状，合瓣花3裂；具唇瓣；发育雄蕊1枚；子房下位。蒴果或浆果状。具膜质假种皮。,多年生草本。块茎。块根。根状茎。叶基生。茎生。叶鞘。叶舌。两性花。左右对称。穗状花序。头状花序。总状花序。圆锥花序。合生萼。合瓣花。唇瓣。子房下位。蒴果。浆果状。假种皮。
24,3,香蒲科,药典,90,Typhaceae,多年生沼生、水生或湿生草本。根状茎横走。单叶二列，互生；具鞘状叶；条形叶直立，或斜上，具平行脉；叶鞘长，边缘膜质。穗状花序，花单性，雌雄同株；雄花序生于上部至顶端，较粗壮，雌性花序位于下部；无被花；雄花由1-3枚雄蕊组成，雌花子房柄基部至下部具白色丝状毛，孕性雌花柱头单侧；子房上位。小坚果。,多年生草本。沼生草本。水生草本。湿生草本。根状茎。直立茎。叶互生。全缘。平行脉。单性花。雌雄同株。穗状花序。无被花。子房上位。小坚果。有胚乳种子。
25,3,谷精草科,药典,94,Eriocaulaceae,多年生草本。叶通常狭窄，丛生。头状花序，花小，单性，辐射对称；雄花和雌花常混生于花序中，或雄花居中，雌花在外围，稀异序；花2－3基数，2轮，膜质；多离生萼，花瓣常有柄，离生或合生；雄蕊和萼片同数或倍之；子房上位。蒴果室背开裂。有胚乳种子。,多年生草本。丛生。单性花。辐射对称。头状花序。雌雄同株。重被花。离生萼。合生萼。离瓣花。合瓣花。无被花。子房上位。蒴果。室背开裂。有胚乳种子。
26,3,灯芯草科,药典,97,Juncaceae,草本，具根状茎和直立、单生茎。叶扁平或圆柱状，或退化为膜质鞘。聚伞花序或圆锥花序，花两性，单被花，花被片6枚，2轮；雄蕊6枚，子房上位。蒴果，分裂为3果瓣。,草本。根状茎。直立茎。两性花。聚伞花序。圆锥花序。单被花。离生雄蕊。子房上位。蒴果。
27,3,莎草科,药典,98,Cyperaceae,多年生或一年生草本。秆实心，常三棱形。叶通常3列，叶片狭长，有封闭的叶鞘。穗状、总状、圆锥状、头状或聚伞花序，花两性或单性；无被花或为下位刚毛、丝毛或鳞片；离生雄蕊1－3枚；子房上位。瘦果或小坚果。,多年生草本。一年生草本。三棱茎。叶鞘。两性花。单性花。穗状花序。总状花序。圆锥花序。头状花序。聚伞花序。无被花。定数离生雄蕊。子房上位。瘦果。小坚果。
28,3,禾本科*,药典,103,Poaceae,"一年生、二年生或多年生草本或木本。多为须根系。	地上茎（秆）中空，节实心。单叶，茎生叶呈二行排列；叶鞘开裂；具叶舌、叶耳。穗状花序或复合花序，两性花或单性花；具外稃、内稃，花被片退化为鳞被或无被花；离生雄蕊3~6枚；子房上位，上端生有羽毛状或帚刷状的柱头。颖果、坚果或浆果。",一年生草本。二年生草本。多年生草本。木本。须根系。秆。单叶。叶互生。叶舌。叶耳。叶鞘。穗状花序。复穗状花序。两性花。单性花。单被花。离生雄蕊。子房上位。颖果。浆果。坚果。
29,3,罂粟科,药典,106,Papaveraceae,多草本，常有乳白色或黄色汁液。多叶互生，全缘或分裂。单花顶生，或圆锥花序、总状花序或聚伞花序；花两性，辐射对称；重被花，萼片2－3枚，早落，花瓣4－6枚，常有皱纹；雄蕊多数离生；复雌蕊，子房上位。蒴果瓣裂或顶孔开裂。,草本。灌木。汁液。叶互生。叶对生。叶轮生。全缘。缺刻。两性花。辐射对称。单生花。圆锥花序。总状花序。聚伞花序。重被花。单被花。离生萼。离瓣花。多数离生雄蕊。二体雄蕊。复雌蕊。子房上位。蒴果。
30,3,木通科,药典,108,Lardizabalaceae,多木质藤本。叶多为掌状复叶，互生。花单生或组成总状花序，多单性花，辐射对称。重被花，萼片花瓣状，6枚2列；花瓣蜜腺状，6枚；离生雄蕊或合生雄蕊，6枚；离生雌蕊，心皮多3枚；子房上位。蓇葖果或浆果。,木质藤本。直立灌木。叶互生。掌状复叶。羽状复叶。辐射对称。单性花。杂性花。单生花。总状花序。圆锥花序。重被花。单被花。离生雄蕊。合生雄蕊。离生雌蕊。子房上位。蓇葖果。浆果。
31,3,防己科,药典,109,Menispermaceae,多攀援或缠绕藤本，木质部常有车辐状髓线。多单叶，叶螺旋状排列，常具掌状脉；叶柄两端肿胀。聚伞花序，或再作圆锥花序式、总状花序式或伞形花序式排列。花单性，雌雄异株；多重被花，萼片每轮3片，花瓣常2轮，每轮3片，分离；雄蕊常6-8枚，花丝分离或合生；离生雌蕊心皮3-6枚，子房上位。核果。,攀援茎。缠绕茎。藤本。直立灌木。小乔木。单叶。复叶。掌状脉。羽状脉。聚伞花序。圆锥花序状。总状花序状。伞形花序状。单生花。单性花。雌雄异株。重被花。单被花。离生雄蕊。合生雄蕊。离生雌蕊。子房上位。核果。无胚乳种子。
32,3,小檗科*,药典,110,Berberidaceae,草本或灌木。单叶或复叶，互生。单生花或排成总状花序，两性花，辐射对称；重被花，萼片和花瓣覆瓦状排列，2至多列；花瓣常变为蜜腺；雄蕊与花瓣同数对生，子房上位。浆果或蒴果。,草本。灌木。叶互生。单叶。复叶。两性花。辐射对称。单生花。总状花序。重被花。雄蕊与花瓣同数且对生。子房上位。浆果。蒴果。
33,3,毛茛科*,药典,111,Ranunculaceae,草本，少木本或木质藤本。单叶或复叶，对生或互生，全缘或分裂。花单性或两性，辐射对称或左右对称；重被花或单被花，萼片5枚或更多，有时花瓣状；花瓣缺或3－5枚或更多；多数离生雄蕊，多离生雌蕊。瘦果或蓇葖果，有时浆果或蒴果。,草本。木本。木质藤本。叶对生。叶互生。单叶。复叶。全缘。缺刻。辐射对称。左右对称。单性花。两性花。重被花。单被花。多数离生雄蕊。多数离生雌蕊。瘦果。蓇葖果。浆果。蒴果。
